pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
SI,5/7/19,92.6,489334,single,hit_into_play_score,7,R,SD,NYM,X,7,ground_ball,1,2,7,18,107.4,-5.1,92.959,2169,6.508,2
SL,5/7/19,87.6,615698,force_out,hit_into_play,14,R,SD,NYM,X,4,ground_ball,2,1,5,4,76.6,-24.9,86.784,2452,5.929,2
FF,5/7/19,95.4,615698,field_out,hit_into_play,4,R,SD,NYM,X,8,fly_ball,0,0,3,253,87.5,49.5,94.661,2135,6.246,3
SL,5/7/19,86,615698,single,hit_into_play_score,9,R,SD,NYM,X,7,ground_ball,0,0,1,55,109.5,0.4,84.85,2304,5.762,4
SI,5/6/19,92.5,489334,strikeout,swinging_strike,13,R,SD,NYM,S,2,null,2,2,8,null,null,null,92.81,2154,6.613,null
CH,5/6/19,85.4,663978,field_out,hit_into_play,14,R,SD,NYM,X,5,ground_ball,2,1,6,13,81.1,-5.2,85.002,1833,6.22,2
FF,5/6/19,97.2,663978,strikeout,swinging_strike,11,R,SD,NYM,S,2,null,0,2,3,null,null,null,98.448,2231,7.132,null
FF,5/6/19,97.9,663978,strikeout,swinging_strike,2,R,SD,NYM,S,2,null,1,2,1,null,null,null,98.87,2453,6.79,null
FF,5/5/19,96.9,623352,strikeout,swinging_strike,3,L,MIL,NYM,S,2,null,0,2,9,null,null,null,98.245,2229,6.767,null
FT,5/5/19,89.2,605200,field_out,hit_into_play,5,R,MIL,NYM,X,8,line_drive,2,2,6,378,93.5,25,88.181,2345,5.829,3
CU,5/5/19,77.3,605200,field_out,hit_into_play,9,R,MIL,NYM,X,3,popup,0,1,4,null,80,69,76.109,2682,5.382,3
CH,5/5/19,80,605200,field_out,hit_into_play,5,R,MIL,NYM,X,7,fly_ball,2,2,2,339,89.1,27.8,79.506,1658,5.734,3
FT,5/4/19,95.8,592865,grounded_into_double_play,hit_into_play,2,R,MIL,NYM,X,4,ground_ball,3,2,16,6,98.2,-23.7,96.292,2429,6.315,2
FF,5/4/19,95.4,605288,field_out,hit_into_play,14,R,MIL,NYM,X,4,ground_ball,3,2,13,3,88.1,-26.8,96.418,2200,6.806,2
FF,5/4/19,96.1,669203,single,hit_into_play_no_out,8,R,MIL,NYM,X,7,line_drive,3,0,11,149,113.6,6.7,96.758,2587,6.338,5
CU,5/4/19,81.6,448855,home_run,hit_into_play_score,8,R,MIL,NYM,X,null,fly_ball,0,0,9,398,110.9,20.9,81.542,2690,6.097,6
SI,5/4/19,90.2,458006,field_out,hit_into_play,13,R,MIL,NYM,X,5,ground_ball,0,1,6,23,98.7,-4.9,90.62,1770,6.358,2
CU,5/4/19,76.3,461829,strikeout,swinging_strike,9,L,MIL,NYM,S,2,null,0,2,3,null,null,null,74.931,2906,5.516,null
CU,5/4/19,76.5,461829,strikeout,swinging_strike_blocked,13,L,MIL,NYM,S,2,null,2,2,1,null,null,null,74.999,2847,5.543,null
FF,5/3/19,97.1,623352,strikeout,foul_tip,7,L,MIL,NYM,S,2,null,0,2,8,null,null,null,97.634,2372,6.67,null
FT,5/3/19,95.4,605540,single,hit_into_play_no_out,4,R,MIL,NYM,X,9,ground_ball,0,0,5,109,67.8,10,95.16,2070,6.256,2
CH,5/3/19,87.1,605540,field_out,hit_into_play,7,R,MIL,NYM,X,1,ground_ball,1,2,3,null,82.9,-20.7,87.34,1782,6.269,2
FF,5/3/19,95.8,605540,strikeout_double_play,swinging_strike,5,R,MIL,NYM,S,2,null,3,2,1,null,null,null,96.078,2295,6.342,null
SI,5/1/19,91.9,453172,field_out,hit_into_play,13,R,NYM,CIN,X,1,ground_ball,0,2,8,null,82.9,-20.7,91.823,1828,6.078,2
FT,5/1/19,92.3,543101,strikeout,swinging_strike,5,R,NYM,CIN,S,2,null,2,2,6,null,null,null,93.417,1976,6.773,null
FT,5/1/19,95.7,543101,field_out,hit_into_play,11,R,NYM,CIN,X,7,fly_ball,1,0,3,235,68.9,31.7,95.499,2089,6.305,4
SL,5/1/19,89.3,543101,single,hit_into_play_no_out,14,R,NYM,CIN,X,9,ground_ball,0,1,1,75,78.4,5.3,89.311,2227,6.01,2
FF,4/30/19,95,628452,sac_fly,hit_into_play_score,6,R,NYM,CIN,X,9,fly_ball,1,2,10,347,103.3,35.6,94.278,2315,5.987,6
SL,4/30/19,83.9,596112,strikeout,swinging_strike,8,R,NYM,CIN,S,2,null,0,2,8,null,null,null,82.477,2749,5.369,null
FF,4/30/19,95.6,622491,strikeout,swinging_strike,12,R,NYM,CIN,S,2,null,2,2,6,null,null,null,92.825,2223,5.239,null
FT,4/30/19,97.5,622491,field_out,hit_into_play,7,R,NYM,CIN,X,4,ground_ball,1,2,3,3,82.6,-24.6,95.205,2018,5.303,2
CH,4/30/19,87.1,622491,grounded_into_double_play,hit_into_play,7,R,NYM,CIN,X,5,ground_ball,1,1,1,4,76.6,-27.7,85.28,1998,5.298,2
CH,4/29/19,87.9,628452,strikeout,swinging_strike_blocked,13,R,NYM,CIN,S,2,null,1,2,8,null,null,null,87.29,1797,6.019,null
FC,4/29/19,93.5,547179,single,hit_into_play_no_out,6,R,NYM,CIN,X,7,line_drive,1,1,6,154,108,6.6,92.337,2560,5.421,4
CH,4/29/19,84.4,543699,strikeout,swinging_strike_blocked,14,R,NYM,CIN,S,2,null,2,2,3,null,null,null,84.377,1652,6.12,null
FT,4/29/19,92,543699,field_out,hit_into_play,4,R,NYM,CIN,X,6,ground_ball,2,1,1,116,86.9,5.7,92.038,2078,6.192,4
FF,4/28/19,88.8,658792,strikeout,foul_tip,2,R,NYM,MIL,S,2,null,3,2,7,null,null,null,88.697,2260,6.763,null
CH,4/28/19,83.1,461829,field_out,hit_into_play,8,L,NYM,MIL,X,6,ground_ball,1,0,5,14,83.7,-6.2,81.727,1567,5.846,2
CH,4/28/19,79.9,461829,field_out,hit_into_play,12,L,NYM,MIL,X,4,ground_ball,2,1,3,3,64.4,-42,78.929,1579,5.907,2
FF,4/28/19,91.2,461829,triple,hit_into_play_no_out,2,L,NYM,MIL,X,7,fly_ball,3,2,1,360,102.4,38.3,89.877,2283,5.639,5
FF,4/27/19,95.4,623352,strikeout,swinging_strike,6,L,NYM,MIL,S,2,null,0,2,9,null,null,null,95.227,2225,6.604,null
CH,4/27/19,72.4,592222,home_run,hit_into_play_score,8,L,NYM,MIL,X,null,fly_ball,3,2,7,384,100.5,34.8,71.232,2252,5.851,5
SL,4/27/19,88.1,605540,single,hit_into_play_no_out,9,R,NYM,MIL,X,9,ground_ball,1,1,5,27,106.9,-2.7,87.814,2364,6.231,4
FF,4/27/19,97.3,605540,single,hit_into_play_no_out,6,R,NYM,MIL,X,8,ground_ball,1,2,3,77,105.5,2.7,97.497,2256,6.544,4
CH,4/27/19,87.6,605540,field_out,hit_into_play,7,R,NYM,MIL,X,8,fly_ball,0,1,1,289,78.1,31.7,87.134,1870,6.451,3
FF,4/26/19,93.2,502593,field_out,hit_into_play,4,R,NYM,MIL,X,6,ground_ball,2,2,9,4,69.7,-26.7,96.447,2089,7.809,2
FC,4/26/19,90.7,606930,strikeout,swinging_strike_blocked,14,R,NYM,MIL,S,2,null,1,2,7,null,null,null,90.892,2513,6.431,null
FC,4/26/19,90.4,502624,field_out,hit_into_play,12,R,NYM,MIL,X,5,ground_ball,1,2,5,5,72.4,-32,89.428,2392,5.449,2
FF,4/26/19,95.2,502624,strikeout,called_strike,9,R,NYM,MIL,S,2,null,1,2,1,null,null,null,94.93,2222,6.074,null
SL,4/24/19,81.8,605388,strikeout,swinging_strike,13,L,NYM,PHI,S,2,null,3,2,8,null,null,null,80.735,2912,5.618,null
