pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
SL,9/23/19,86.1,592761,field_out,hit_into_play,4,L,NYM,MIA,X,4,popup,3,2,5,null,80,69,84.881,2252,5.293,3
SL,9/23/19,86.6,592761,single,hit_into_play_no_out,7,L,NYM,MIA,X,7,line_drive,2,1,3,254,106.1,15.6,85.61,2335,5.192,5
SL,9/23/19,86.1,592761,strikeout,swinging_strike_blocked,13,L,NYM,MIA,S,2,null,2,2,1,null,null,null,84.841,2503,5.188,null
FS,9/22/19,83.5,621199,field_out,hit_into_play,2,R,CIN,NYM,X,5,line_drive,2,2,8,124,67.4,12.7,83.249,991,5.898,2
SL,9/22/19,80.1,545333,strikeout,swinging_strike_blocked,14,R,CIN,NYM,S,2,null,1,2,6,null,null,null,78.916,3119,5.612,null
FF,9/22/19,94.8,545333,strikeout,swinging_strike,12,R,CIN,NYM,S,2,null,1,2,3,null,null,null,94.89,2874,6.282,null
FF,9/22/19,92.6,545333,double,hit_into_play_no_out,8,R,CIN,NYM,X,7,ground_ball,0,0,1,37,110.4,-0.9,92.839,2753,6.419,4
SL,9/21/19,87.6,669270,field_out,hit_into_play,14,R,CIN,NYM,X,6,ground_ball,1,2,8,33,101.8,-0.2,88.107,null,6.513,4
KC,9/21/19,85.4,543101,strikeout,swinging_strike_blocked,14,R,CIN,NYM,S,2,null,2,2,5,null,null,null,84.37,2490,5.629,null
SL,9/21/19,87.9,543101,field_out,hit_into_play,9,R,CIN,NYM,X,8,fly_ball,0,1,4,345,89.9,25.2,87.797,2285,5.834,3
FT,9/21/19,94.9,543101,field_out,hit_into_play,7,R,CIN,NYM,X,5,ground_ball,0,0,1,5,101.7,-20.9,95.076,2213,6.302,2
FT,9/20/19,96.2,607219,home_run,hit_into_play_score,9,R,CIN,NYM,X,null,fly_ball,2,2,8,437,108.2,28.2,95.396,2228,5.922,6
SL,9/20/19,88.8,622491,strikeout,swinging_strike,14,R,CIN,NYM,S,2,null,0,2,6,null,null,null,87.234,2297,5.496,null
